10;noordse stormvogel;NoStorm;noordse storm;noorse storm
13;grauwe pijlstormvogel;Grwe Pijl;grauwe pijl;lauwe pijl
14;noordse pijlstormvogel;NoordsePijl;noordse pijl;noorse pijl
17;vaal stormvogeltje;Vaaltje;vaaltje
19;jan-van-gent;JvGent;jan van gent
20;aalscholver;Aal;alsgolver;als golven;als volgor;als golden;als over;allesgolver;alles over;ali;alscherver
21;kuifaalscholver;Kuifaal;kuif ali
23;woudaap;Woudaap;wouaap
25;ralreiger;Ralreiger;ralreiger
27;kleine zilverreiger;KlZilver;kleine zilver
28;grote zilverreiger;GroZilv;grote zilver
29;blauwe reiger;BlaR;laurijger;lauregor;laureger;blauwe regen;blauwe regener
30;purperreiger;Purperr;purper
31;zwarte ooievaar;ZwOoi;zwarte ooi
32;ooievaar;Ooiev;ooievaar
34;lepelaar;Lepel;liepelaar
42;kleine rietgans;KlRiet;kleine riet;kleine rieten
43;kolgans;Kol;kol;kollen
45;grauwe gans;GrGans;rauwehands;grohe hans
49;brandgans;Brand;brandjes
50;rotgans;Rot;rotjes;rotties
54;bergeend;Berge;bargeend;bargind;barents;waarheend;berg inkt;barg eend;barcheent;berg 1;bar eens;bar eend;bach eens;barind;berg een;bergeen;berg1;bar1;bar 1;back ind
59;krakeend;Krak;craquin;kraqueen;crokin;krakking;craqueen;croky;kraqueend;brakind;krake eend
61;wintertaling;WiTa;wita
62;wilde eend;WildeE;weldient
66;slobeend;Slobeend;slop eent
67;krooneend;Krooneend;krooneend
72;topper;Topper;topper
77;ijseend;IJseend;ijseend
78;zwarte zee-eend;ZwZee;zwarte zeeend;kakkers;zwarte ze eend;zwarte zieeend
81;brilduiker;Brildui;brilduiker
82;nonnetje;Nonnetje;nonnetje
83;middelste zaagbek;MiZa;miza
84;grote zaagbek;GrZaag;groza
86;wespendief;Wespend;wesp;wespen
87;grijze wouw;Grijze Wouw;grijze wouw
89;rode wouw;RoWouw;rowo
91;zeearend;ZeeA;zeearend
92;vale gier;ValeG;vale gier
94;slangenarend;SlangenA;slangenarend
95;bruine kiekendief;BrKiek;bruine kiek;bruine quick;brengen kiekendief;brende kiekendief;bruine kickendief;benekiekendief
96;blauwe kiekendief;BlaKie;blauwe kiek;blauwe kickendief;blauwe kikkerdief
97;steppekiekendief;Steppekiek;steppekiek;steppenkiek
98;grauwe kiekendief;GrKiek;grauwe kiek;grauwe kikkerdief
109;visarend;VisA;visa
110;torenvalk;TorenV;boerenwolk;boerenwalk;toerenwalk;toerenwolk
112;smelleken;Smel;smelleken
